Country;Big Mac Index 2024;Difference from US;;;
Switzerland;8,07;41,83%;;;
Uruguay;7,07;24,25%;;;
Norway;6,77;18,98%;;;
Argentina;6,55;15,11%;;;
United Kingdom;5,9;3,69%;;;
United States;5,69;0,00%;;;
Denmark;5,66;-0,53%;;;
Costa Rica;5,62;-1,23%;;;
Sweden;5,6;-1,58%;;;
Canada;5,52;-2,99%;;;
Poland;5,27;-7,38%;;;
Lebanon;5,14;-9,67%;;;
Mexico;5,1;-10,37%;;;
Saudi Arabia;5,06;-11,07%;;;
Australia;5,06;-11,07%;;;
New Zealand;4,99;-12,30%;;;
Venezuela;4,97;-12,65%;;;
Singapore;4,97;-12,65%;;;
Colombia;4,9;-13,88%;;;
United Arab Emirates;4,9;-13,88%;;;
Turkey;4,68;-17,75%;;;
Czech Republic;4,63;-18,63%;;;
Kuwait;4,58;-19,51%;;;
Peru;4,55;-20,04%;;;
Chile;4,54;-20,21%;;;
Israel;4,52;-20,56%;;;
Bahrain;4,51;-20,74%;;;
Nicaragua;4,34;-23,73%;;;
Brazil;4,23;-25,66%;;;
Honduras;4,11;-27,77%;;;
Guatemala;4;-29,70%;;;
South Korea;3,99;-29,88%;;;
Oman;3,97;-30,23%;;;
Hungary;3,9;-31,46%;;;
Qatar;3,85;-32,34%;;;
Pakistan;3,82;-32,86%;;;
Thailand;3,79;-33,39%;;;
Azerbaijan;3,62;-36,38%;;;
Moldova;3,57;-37,26%;;;
China;3,53;-37,96%;;;
Romania;3,53;-37,96%;;;
Jordan;3,53;-37,96%;;;
Japan;3,19;-43,94%;;;
Vietnam;3,01;-47,10%;;;
Hong Kong;2,94;-48,33%;;;
Ukraine;2,87;-49,56%;;;
Philippines;2,86;-49,74%;;;
Malaysia;2,86;-49,74%;;;
South Africa;2,85;-49,91%;;;
India;2,75;-51,67%;;;
Egypt;2,47;-56,59%;;;
Indonesia;2,46;-56,77%;;;
Taiwan;2,28;-59,93%;;;
Sri Lanka;;;;;
